id	context	predictions	aggregatedPredictions	category
16	In an interview Saturday night, Miss Carpenter defended the passage, which dealt with allegations that Mr. Lowenstein years before had made an unsuccessful homosexual advance to Mr. Sweeney, and with speculation about the influence of the incident in the murder and on Mr. Sweeney, who was judged insane after the slaying.	[[0.1,0.748,0.135,0.014,0.003]]	[0.1,0.748,0.135,0.014,0.003]	negative
17	Both sides agreed the ruling would slow the advancement of homosexual rights. ''	[[0.021,0.198,0.669,0.102,0.01]]	[0.021,0.198,0.669,0.102,0.01]	neutral
18	Mauritania struggles with sand, drought and social divisions A2 China's legislators, long docile, start asking questions A3 Israeli Foreign Minister flies to Cairo for talks A4 Around the World A5 Begin sees internal Syrian pressures behind talks with Libya A6 Text of Muskie letter to Iranian premier about hostages A8 Administration seeks Senate support on uranium sale to India A13 Pole says Warsaw never feared Soviet interference in unrest A15 Government/Politics Lance refuses to answer panel's questions on Billy Carter A16 U.S. won't exclude homosexual aliens in most cases A20 Pentagon calls combat-readiness gaps common in peacetime A21 Campaign report B5 Democratic race for City Council is close on Upper East Side B6 Calandra nominated by Democrats and G.O.P. in the Bronx B7 Labor leaders assail Liberal Party unit's vote on Anderson B7 Anderson stresses confidence on debate B7 Mondale and Chicago Mayor close rift in Democratic Party B7 General Around the Nation A16 Casino panel urged to deny license to Caesars B2	[[0.728,0.226,0.035,0.001,0.01]]	[0.728,0.226,0.035,0.001,0.01]	very negative
19	The child had received multiple transfusions of blood and blood products, including a transfusion from a man who later proved to have acquired immune deficiency syndrome, called AIDS, The disorder has been linked primarily to homosexual men.	[[0.15,0.621,0.19,0.027,0.011]]	[0.15,0.621,0.19,0.027,0.011]	negative
20	LEAD: For the first time, the New York City Police Department has requested the help of an organization of homosexual police officers and criminal-justice workers in a recruiting drive.	[[0.068,0.336,0.355,0.195,0.047]]	[0.068,0.336,0.355,0.195,0.047]	neutral
21	"Cruising," the film by William Friedkin that caused considerable controversy during its filming in New York last summer because of its story involving the murders of homosexuals, was screened Monday eveing at the Manhattan I Theater, where a news conference was held after the preview.	[[0.111,0.432,0.232,0.179,0.046]]	[0.111,0.432,0.232,0.179,0.046]	negative
22	Homosexuality is the most sensitive issue in the sports marketplace, more delicate than drugs, more controversial than violence.	[[0.022,0.068,0.251,0.493,0.166]]	[0.022,0.068,0.251,0.493,0.166]	positive
23	Mayor Koch told the Salvation Army yesterday that its contracts with the city to provide day care and other services would not be renewed until it adopted an unbiased hiring policy toward homosexuals.	[[0.135,0.593,0.213,0.04,0.018]]	[0.135,0.593,0.213,0.04,0.018]	negative
24	Civil rights activists seeking laws to forbid discrimination against homosexuals say that a high court's upholding of the Navy's discharge of a homosexual was a setback, but one that would give them added motivation to work harder for their goals.	[[0.262,0.616,0.103,0.009,0.011]]	[0.262,0.616,0.103,0.009,0.011]	negative
25	Second, recent research indicates that homosexual men have substantially decreased promiscuity since AIDS was discovered in 1981; yet reported cases continue unabated among men in this group, and a suspected key factor is the use by some of intravenous drugs.	[[0.103,0.319,0.179,0.285,0.114]]	[0.103,0.319,0.179,0.285,0.114]	negative
26	WASHINGTON, Jan. 24 (AP)--Senator Alan Cranston, Democrat of California, has introduced a bill to repeal a ban on admission of suspected homosexual aliens into the United States.	[[0.517,0.392,0.05,0.012,0.029]]	[0.517,0.392,0.05,0.012,0.029]	very negative
27	The city has decided not to appeal a court decision declaring that Mayor Koch did not have the power to ban discrimination against homosexuals by anyone holding a city contract, officials said yesterday.	[[0.047,0.356,0.36,0.216,0.021]]	[0.047,0.356,0.36,0.216,0.021]	neutral
28	LEAD: The issue of homosexuality remains distasteful to many in Congress, as demonstrated by the overwhelming vote in the House on Tuesday permitting members to refuse to hire anyone whose life style they decide is unacceptable, a framework interpreted as including men and women who are gay.	[[0.346,0.431,0.191,0.02,0.012]]	[0.346,0.431,0.191,0.02,0.012]	negative
29	More than two-thirds of the 73 regional units of the United Methodist Church have asked the denomination's 1984 General Conference to clarify the church's position on homosexuality, according to a survey in Newscope, a weekly newsletter produced by the denomination's publishing house.	[[0.258,0.553,0.145,0.026,0.019]]	[0.258,0.553,0.145,0.026,0.019]	negative
30	Judge Robert Aguilar of Federal District Court here today rejected immigration rules barring foreign homosexuals from entering the United States.	[[0.267,0.549,0.16,0.012,0.012]]	[0.267,0.549,0.16,0.012,0.012]	negative
