id	context	predictions	aggregatedPredictions	category
1	To the Editor: Your Sept. 8 news article on the transgender movement oversimplifies the anxiety many gay men and lesbians feel about the association between gay and transgender issues.	[[0.102,0.666,0.207,0.018,0.007]]	[0.102,0.666,0.207,0.018,0.007]	negative
2	The Hetrick-Martin Institute has been providing service since 1979 to gay, lesbian, transgender and questioning youth.	[[0.141,0.525,0.185,0.105,0.043]]	[0.141,0.525,0.185,0.105,0.043]	negative
3	To the Editor: Your Sept. 8 report about ''transgendered'' people's fight for respect indicates some friction within gay and lesbian groups.	[[0.091,0.63,0.223,0.045,0.011]]	[0.091,0.63,0.223,0.045,0.011]	negative
4	Arrayed around those succulent shoes -- which, believe it or not, were the centerpieces yesterday of a legal dispute involving two New York restaurants with kinky themes and adjudicated by one cranky former New York Mayor -- were a scrum of transgender, sado-masochistic funsters.	[[0.146,0.609,0.203,0.029,0.013]]	[0.146,0.609,0.203,0.029,0.013]	negative
5	Within the last three or four years, a political movement has developed among transgender people.	[[0.025,0.054,0.068,0.595,0.259]]	[0.025,0.054,0.068,0.595,0.259]	positive
6	A leadership group of labor activists gathered in New York again late last month to formally ordain the National Gay/Lesbian/Bi/Transgender Labor Organization, the group's politically inclusive full title.	[[0.204,0.626,0.106,0.038,0.025]]	[0.204,0.626,0.106,0.038,0.025]	negative
7	In Washington, Dana Priesing lobbies for laws that would ban discrimination against ''transgendered'' people.	[[0.07,0.677,0.233,0.016,0.004]]	[0.07,0.677,0.233,0.016,0.004]	negative
8	Gay men and lesbians who reject this alliance are not ungrateful for the help we have received from transgender activists.	[[0.097,0.644,0.214,0.034,0.011]]	[0.097,0.644,0.214,0.034,0.011]	negative
9	In December he was shot in the head, the third young transgender prostitute murdered in Harlem in 14 months.	[[0.071,0.531,0.344,0.044,0.01]]	[0.071,0.531,0.344,0.044,0.01]	negative
10	But we are alarmed by the suggestion that gay men and lesbians belong in the same category as the transgendered.	[[0.057,0.45,0.436,0.048,0.009]]	[0.057,0.45,0.436,0.048,0.009]	negative
11	And in Southern California, Jacob Hale and the rest of the local Transgender Menace chapter occasionally pull on their black Menace T-shirts and go for a group walkabout, just to look people in the eye with collective pride in who they are.	[[0.161,0.647,0.083,0.083,0.026]]	[0.161,0.647,0.083,0.083,0.026]	negative
12	Extraordinary musical talents aside, Sara Buechner, as described in your article, seems representative of the majority of transgendered clients I have seen over the years.	[[0.197,0.444,0.259,0.062,0.038]]	[0.197,0.444,0.259,0.062,0.038]	negative
13	We are forever indebted to him for being a beacon of kindness, courage and hope that lights our path to a brighter future for lesbian, gay, bisexual and transgender people.	[[0.116,0.502,0.218,0.12,0.044]]	[0.116,0.502,0.218,0.12,0.044]	negative
14	I also founded a support group for gay, lesbian, bisexual and transgendered teen-agers and young adults.	[[0.198,0.655,0.111,0.024,0.011]]	[0.198,0.655,0.111,0.024,0.011]	negative
15	The troupe includes 30 gay, lesbian, bisexual and transgender people who call themselves nuns and use such names as Sister Phyllis Stein and Sister Reyna Terror.	[[0.164,0.652,0.166,0.012,0.006]]	[0.164,0.652,0.166,0.012,0.006]	negative
16	Leslie Tonkonow Artworks and Projects 601 West 26th Street Chelsea Through Oct. 16 The prefix ''trans,'' meaning across, through or beyond, has been ubiquitous in the 1990's art lingo, as in transcultural, transnational and transgender.	[[0.381,0.527,0.064,0.011,0.017]]	[0.381,0.527,0.064,0.011,0.017]	negative
17	This demonstration occurred not in a course, but at a one-time event last March that was sponsored by the student-run Brown Lesbian, Gay, Bisexual and Transgender Alliance and open to the public.	[[0.064,0.392,0.446,0.08,0.017]]	[0.064,0.392,0.446,0.08,0.017]	neutral
18	But members of the school's ''transgendered'' community, which includes transsexuals and transvestites, want explicit protection. ''	[[0.158,0.694,0.105,0.029,0.014]]	[0.158,0.694,0.105,0.029,0.014]	negative
19	Members of the transgender community do not wish to be referred to as "he-she's," and those who identify as female do not refer to themselves as "he."	[[0.088,0.538,0.311,0.048,0.015]]	[0.088,0.538,0.311,0.048,0.015]	negative
20	Everyone at the Center will miss Irving more than words can say, and we are forever indebted to him for sharing a vision and spirit that lights our path to a brighter tomorrow for future generations of lesbian, gay, bisexual and transgender people.	[[0.337,0.56,0.092,0.004,0.007]]	[0.337,0.56,0.092,0.004,0.007]	negative
