id	context	predictions	aggregatedPredictions	category
1	Titled “Community Action Center,” the film explores queer sexuality and runs an almost impossibly hilarious 69 minutes.	[[0.101,0.296,0.244,0.259,0.1]]	[0.101,0.296,0.244,0.259,0.1]	negative
2	Frustrated by what he saw as the non-inclusive world of lesbian, gay, bisexual, transgender and queer (LGBTQ) mobile apps, a Harvard student set out to create one that would be truly inclusive of all genders.	[[0.128,0.545,0.264,0.047,0.016]]	[0.128,0.545,0.264,0.047,0.016]	negative
3	In San Francisco, Marilyn Roxie, formerly Female, chose three: Androgynous, Transgender and Genderqueer.	[[0.184,0.746,0.059,0.007,0.004]]	[0.184,0.746,0.059,0.007,0.004]	negative
4	I can’t tell the difference between queers and hipsters any more, and that means I have to ask you, which will be uncomfortable for everyone.	[[0.237,0.511,0.167,0.046,0.038]]	[0.237,0.511,0.167,0.046,0.038]	negative
5	Series like Queer/Art/Film as well as several new movies and books serve as cinematic caregivers at a time that young gay audiences don’t seem interested in film’s gay past.	[[0.165,0.606,0.14,0.058,0.031]]	[0.165,0.606,0.14,0.058,0.031]	negative
6	Steiner’s critically acclaimed installation at last summer’s Greater New York show at MoMA P.S.1 featured a vast collage of images of naked women, nature and beaten body parts, in a somehow celebratory homage to queer culture.	[[0.132,0.411,0.161,0.204,0.092]]	[0.132,0.411,0.161,0.204,0.092]	negative
7	We’re both queer women who fled Communist regimes.	[[0.053,0.489,0.366,0.081,0.011]]	[0.053,0.489,0.366,0.081,0.011]	negative
8	The Kashish Mumbai International Queer Film Festival took on heightened significance this year, following the country's reinstatement of a ban on gay sex.	[[0.108,0.334,0.19,0.262,0.107]]	[0.108,0.334,0.19,0.262,0.107]	negative
9	Sixty U.S. cities earned perfect scores on a nationwide ranking of protections for LGBTQ (lesbian, gay, bisexual, transgender, queer) people, despite an array of anti-gay efforts by state governments, the Human Rights Campaign said on Monday.	[[0.144,0.641,0.162,0.033,0.02]]	[0.144,0.641,0.162,0.033,0.02]	negative
10	President Donald Trump on Tuesday said he won't roll back federal workplace protections for gay, lesbian, bisexual, transgender and queer people, giving a rare nod of approval to President Barack Obama's work on the issue.	[[0.222,0.528,0.138,0.066,0.047]]	[0.222,0.528,0.138,0.066,0.047]	negative
11	Some N.Y.U. students have complained to the university's Lesbian, Gay, Bisexual, Transgender and Queer Student Center, said John Beckman, a university spokesman.	[[0.283,0.553,0.139,0.014,0.011]]	[0.283,0.553,0.139,0.014,0.011]	negative
12	Some have found themselves turning to Catholic theology and queer theory.	[[0.017,0.126,0.608,0.231,0.017]]	[0.017,0.126,0.608,0.231,0.017]	neutral
13	Habibah, a Nigerian lesbian, was forced by her family to marry a man, who raped her on their wedding night, while Somadina was told she would die early because she calls herself queer.	[[0.205,0.557,0.157,0.046,0.035]]	[0.205,0.557,0.157,0.046,0.035]	negative
14	10 P.M. (OWN) CARSON NATION Carson Kressley (above with Kelli, center, and Carmen), known for helping style-challenged men in ''Queer Eye for the Straight Guy,'' throws a dart at a map and goes to the town in America where it lands to help residents there discover what makes them look good on the outside and feel good on the inside.	[[0.059,0.136,0.12,0.421,0.263]]	[0.059,0.136,0.12,0.421,0.263]	positive
15	It’s a golden age for queer characters in comic books.	[[0.069,0.254,0.339,0.272,0.066]]	[0.069,0.254,0.339,0.272,0.066]	neutral
16	From coming out to dating to dealing with discrimination, Lindsay King-Miller has put together a guide, "Ask a Queer Chick," that is tailor made for, as she describes, "girls who dig girls."	[[0.149,0.683,0.148,0.013,0.007]]	[0.149,0.683,0.148,0.013,0.007]	negative
17	Los Angeles tops the list of U.S. cities most friendly to lesbians, gays, bisexuals and transgender people, according to a newly compiled "Queer Index" released on Wednesday by an online news site.	[[0.288,0.624,0.078,0.005,0.005]]	[0.288,0.624,0.078,0.005,0.005]	negative
18	In a performance event at Dixon Place, scholars and performers prove that you can send up an academic field like queer theory and honor it all the same.	[[0.01,0.025,0.045,0.765,0.154]]	[0.01,0.025,0.045,0.765,0.154]	positive
19	The number of murders of lesbian, gay, bisexual, transgender and queer people jumped 20 percent in the United States last year, activists said on Monday, releasing their findings a day after a mass shooting at a Florida gay nightclub left 49 people dead.	[[0.447,0.427,0.109,0.006,0.011]]	[0.447,0.427,0.109,0.006,0.011]	very negative
