id	context	predictions	aggregatedPredictions	category
2048	Thus, in our church communities, we might reword Paul's declaration by saying, "In Christ, there is male and female, old and young, disabled and temporarily able-bodied, lesbian, gay and heterosexual."	[[0.131,0.536,0.26,0.052,0.021]]	[0.131,0.536,0.26,0.052,0.021]	negative
2049	To the Editor: The interest in gay and lesbian retirement communities and assisted living homes reflects a growing awareness of the devastating effects of societal homophobia on the estimated three million gay and lesbian people in the United States over the age of 65 (front page, Oct. 21).	[[0.122,0.565,0.234,0.063,0.016]]	[0.122,0.565,0.234,0.063,0.016]	negative
2050	The Virginia Supreme Court today rejected a lesbian's plea for custody of her 3-year-old son, ruling that "active lesbianism practiced in the home" could stigmatize the child.	[[0.242,0.598,0.137,0.014,0.01]]	[0.242,0.598,0.137,0.014,0.01]	negative
2051	Then they will gather up the other lesbian women who are their downstairs tenants and head off with a cardamom coffee cake and sugar cookies -- plus an 11-week-old puppy -- to dine with their neighbors.	[[0.106,0.506,0.374,0.009,0.005]]	[0.106,0.506,0.374,0.009,0.005]	negative
2052	To the Editor: Regarding "A Quiet Liberation for Gay and Lesbian Employees" (June 13), the experiences of your interviewees are far more positive than I would have expected.	[[0.139,0.618,0.205,0.028,0.01]]	[0.139,0.618,0.205,0.028,0.01]	negative
2053	Last year, 182 people were injured and 12 people were killed in anti-gay assaults, the New York City Gay and Lesbian Anti-Violence Project said.	[[0.128,0.533,0.187,0.134,0.017]]	[0.128,0.533,0.187,0.134,0.017]	negative
2054	In the second such ruling this year, a Federal judge has declared the military's ban on gay men and lesbians to be unconstitutional and has ordered the reinstatement of a sailor discharged for homosexuality in 1982.	[[0.143,0.583,0.21,0.049,0.014]]	[0.143,0.583,0.21,0.049,0.014]	negative
2055	"Everywhere" certainly includes the stages of New York theaters, for gay male and lesbian characters are part of the casts of an increasing number of plays, dances and mixed-media productions.	[[0.134,0.614,0.16,0.07,0.023]]	[0.134,0.614,0.16,0.07,0.023]	negative
2056	Mr. Dinkins, who was supported by gay and lesbian voters in the last election and is seeking another term, said he had written to other mayors asking them to shift the meeting to New York City.	[[0.119,0.566,0.241,0.055,0.02]]	[0.119,0.566,0.241,0.055,0.02]	negative
2057	He is also the founder of the Center for Lesbian and Gay Studies at the Graduate Center and the author of numerous books and plays, including "In White America," first produced in 1963.	[[0.182,0.658,0.11,0.035,0.015]]	[0.182,0.658,0.11,0.035,0.015]	negative
2058	But the enshrinement of Stonewall as the genesis of gay culture threatens to deny the richness and resiliency of gay and lesbian life before the late 60's and to obscure the long history of gay resistance that made the gay-rights movement possible.	[[0.185,0.669,0.133,0.008,0.005]]	[0.185,0.669,0.133,0.008,0.005]	negative
2059	Only in America -- Disney's America, at any rate -- can the act of a TV sitcom heroine declaring her lesbianism be turned into a media epic that plays out over seven months, generating a striptease of publicity that in a simpler age would be beyond the imagination of even P. T. Barnum, if not Gypsy Rose Lee herself.	[[0.135,0.623,0.194,0.037,0.011]]	[0.135,0.623,0.194,0.037,0.011]	negative
2060	Two commercials for the Partnership for a Drug-Free America have been labeled "patently homophobic" by the Gay and Lesbian Alliance Against Defamation, which has asked for their withdrawal.	[[0.161,0.685,0.132,0.015,0.007]]	[0.161,0.685,0.132,0.015,0.007]	negative
2061	Sara, the casting agent with the blind baby, is married to Jeremy, who is being sought out by Gina the masseuse, whose new client Katherine is a lesbian screenwriter but also Donny's true love.	[[0.244,0.604,0.127,0.014,0.012]]	[0.244,0.604,0.127,0.014,0.012]	negative
2062	Such a move would almost certainly energize gay and lesbian supporters in Mr. Dinkins's re-election campaign against Rudolph W. Giuliani, the Republican-Liberal candidate.	[[0.109,0.622,0.222,0.037,0.01]]	[0.109,0.622,0.222,0.037,0.01]	negative
