id	context	predictions	aggregatedPredictions	category
5632	Teen-agers who are gay or bisexual are more than three times as likely to attempt suicide as other youth, according to a Massachusetts study reported this month in The Archives of Pediatric and Adolescent Medicine.	[[0.173,0.59,0.2,0.024,0.012]]	[0.173,0.59,0.2,0.024,0.012]	negative
5633	They say the concept and wording for the advertisements resulted from months of consultations with youth agencies and four focus groups last summer with members of the target audience: gay and bisexual adults between the ages of 15 and 21.	[[0.064,0.527,0.367,0.034,0.008]]	[0.064,0.527,0.367,0.034,0.008]	negative
5634	Susan Dworkin's article "A Vicious Undertaking" (Nov. 8), about one of my favorite actors, Gary Oldman, neglected to mention two of his films that I liked very much: "Criminal Law," with Kevin Bacon, a murky but interesting film because of Oldman's faultless American accent as a defense attorney, and "We Think the World of You," a quirky British comedy in which he plays a bisexual cockney sailor who, when put in jail, leaves his German shepherd dog in the care of his male lover, played by Alan Bates.	[[0.05,0.142,0.155,0.48,0.172]]	[0.05,0.142,0.155,0.48,0.172]	positive
5635	By upholding the exclusion of a gay, lesbian and bisexual group from the St. Patrick's Day Parade in Boston, the Supreme Court vindicated the Ancient Order of Hibernians in its long-running efforts to keep a gay contingent out of the line of march in New York City, lawyers for the Hibernians said yesterday.	[[0.171,0.562,0.248,0.012,0.007]]	[0.171,0.562,0.248,0.012,0.007]	negative
5636	They have been drawn together by the death of Jean-Baptiste, a bisexual painter whose tangle of amours could have kept these characters busy for a full ride on the Orient Express.	[[0.149,0.633,0.172,0.033,0.013]]	[0.149,0.633,0.172,0.033,0.013]	negative
5637	Instead, the case came down to an argument over what message, if any, the marchers would have conveyed had they been permitted to march under their banner identifying them as the Irish-American Gay, Lesbian and Bisexual Group of Boston.	[[0.069,0.504,0.404,0.019,0.004]]	[0.069,0.504,0.404,0.019,0.004]	negative
5638	Gay Troops: Vote on an amendment to a Defense Department authorization bill that would require the Department to ask recruits if they are homosexual or bisexual.	[[0.212,0.643,0.13,0.008,0.006]]	[0.212,0.643,0.13,0.008,0.006]	negative
5639	A twisty sex-filled murder mystery with Michael Douglas as a detective who falls for a wealthy, bisexual blonde (Sharon Stone).	[[0.076,0.446,0.315,0.134,0.028]]	[0.076,0.446,0.315,0.134,0.028]	negative
5640	Members of the Bisexual, Gay, and Lesbian Students Association held a series of gatherings and rallies in the days immediately after publication, and an exchange of letters and opinion articles has raged in other campus publications.	[[0.343,0.583,0.062,0.004,0.008]]	[0.343,0.583,0.062,0.004,0.008]	negative
5641	Of the 18 people on the board when Brazile was a member, 16 were openly gay or bisexual.	[[0.053,0.562,0.302,0.073,0.01]]	[0.053,0.562,0.302,0.073,0.01]	negative
5642	One recent long-running series was called "Tales of the Closet," about gay and bisexual teen-agers and their problems.	[[0.049,0.479,0.407,0.057,0.007]]	[0.049,0.479,0.407,0.057,0.007]	negative
5643	A recent survey of gay and bisexual men in New York City showed encouraging evidence that many members of the gay community are acting responsibly to reduce the risk of H.I.V. infection.	[[0.092,0.409,0.262,0.186,0.051]]	[0.092,0.409,0.262,0.186,0.051]	negative
5644	The University of Wisconsin at Madison should create an academic program, a campus center and possibly separate housing for gay, lesbian and bisexual students, a university committee report has recommended.	[[0.183,0.599,0.128,0.058,0.031]]	[0.183,0.599,0.128,0.058,0.031]	negative
5645	He wasn't a drug addict, bisexual, homosexual or a hemophiliac, and he wasn't famous.	[[0.148,0.586,0.229,0.025,0.012]]	[0.148,0.586,0.229,0.025,0.012]	negative
5646	In a growing number of Connecticut high schools, though, groups of students are starting to speak up, to correct derogatory language and to advocate greater tolerance of people who may be lesbian, gay or bisexual.	[[0.032,0.309,0.373,0.264,0.022]]	[0.032,0.309,0.373,0.264,0.022]	neutral
5647	The Supreme Court agreed today to decide whether the organizers of Boston's venerable St. Patrick's Day parade have a constitutional right to exclude marchers who seek to identify themselves as gay, lesbian, and bisexual Irish-Americans.	[[0.11,0.623,0.223,0.033,0.012]]	[0.11,0.623,0.223,0.033,0.012]	negative
5648	The title character of Pam Gems's play "Aunt Mary" is a cigar-smoking, bisexual drag queen doyen (or doyenne, take your pick) of a small circle of transvestites who operate a gas station-cum-theater-cum-cafe outside Birmingham, England, and pretend it's a literary salon.	[[0.327,0.559,0.094,0.01,0.01]]	[0.327,0.559,0.094,0.01,0.01]	negative
5649	The action came in a 20-to-13 vote three weeks after the Senate added a clause to the Student Code of Conduct prohibiting verbal and physical abuse of homosexuals, heterosexuals and bisexuals on campus.	[[0.113,0.681,0.18,0.021,0.006]]	[0.113,0.681,0.18,0.021,0.006]	negative
5650	The Supreme Court agreed to decide whether the organizers of Boston's St. Patrick's Day parade have a constitutional right to exclude marchers who seek to identify themselves as gay, lesbian, or bisexual Irish-Americans.	[[0.067,0.503,0.36,0.057,0.014]]	[0.067,0.503,0.36,0.057,0.014]	negative
5651	Four students at this Upper East Side girls' school have told teachers and friends they consider themselves bisexual, news that the other girls have treated with equanimity.	[[0.11,0.643,0.218,0.022,0.008]]	[0.11,0.643,0.218,0.022,0.008]	negative
5652	It's not bisexuality.	[[0.094,0.554,0.308,0.034,0.01]]	[0.094,0.554,0.308,0.034,0.01]	negative
5653	The Supreme Court ruled unanimously today that the private sponsors of Boston's St. Patrick's Day parade had a constitutional right to exclude marchers whose message they reject, including those who seek to identify themselves as gay, lesbian, and bisexual Irish-Americans.	[[0.201,0.616,0.13,0.032,0.021]]	[0.201,0.616,0.13,0.032,0.021]	negative
