id	context	predictions	aggregatedPredictions	category
21	The irrepressible Ms. San Juan, a Spanish nightclub performer, plays a transsexual named Agrado and is the film's biggest treat (Janet Maslin).	[[0.024,0.041,0.083,0.552,0.3]]	[0.024,0.041,0.083,0.552,0.3]	positive
22	As a transsexual, it is heartening to see the media pierce the veil of negativity surrounding drag queens and recognize the validity of the person within.	[[0.14,0.636,0.174,0.037,0.013]]	[0.14,0.636,0.174,0.037,0.013]	negative
23	A set of 45 departmental charges against a transsexual Hoboken police lieutenant was thrown out by a Superior Court judge, according to transcripts the officer's lawyers made available last week.	[[0.299,0.501,0.176,0.013,0.011]]	[0.299,0.501,0.176,0.013,0.011]	negative
24	Still, such activity does not make the bar a standout in the neighborhood, with its late-night melange of butchers, steakhouses, gay bars, S-and-M clubs, and transvestite and transsexual streetwalkers.	[[0.209,0.5,0.229,0.044,0.018]]	[0.209,0.5,0.229,0.044,0.018]	negative
25	In the latest highly produced installment of his life story, ''Walk on the Wild Side,'' Mr. Rodman very much hopes to shock each and every American citizen with the news that he had an affair with a transsexual, fantasizes about masturbating while sitting on the bench during basketball games, and plans to change his name to Orgasm.	[[0.088,0.596,0.178,0.123,0.015]]	[0.088,0.596,0.178,0.123,0.015]	negative
26	In the 1970's San Francisco of ''Armistead Maupin's 'More Tales of the City,' '' the characters may be homosexual, heterosexual or transsexual, but they are all hopeless romantics.	[[0.331,0.39,0.222,0.04,0.017]]	[0.331,0.39,0.222,0.04,0.017]	negative
27	In the Sept. 24 Letters column, Ken Gelwasser characterized transsexuals as freaks, of a grotesquerie surpassing the peculiarities of P.T. Barnum's exhibitions.	[[0.148,0.674,0.162,0.012,0.005]]	[0.148,0.674,0.162,0.012,0.005]	negative
28	If it weren't so beautifully understated, Steven Mackintosh's portrayal of a shy but determinedly independent transsexual named Kim Foyle in ''Different for Girls'' might qualify as the stunt performance of the year.	[[0.084,0.593,0.226,0.077,0.02]]	[0.084,0.593,0.226,0.077,0.02]	negative
29	If smallness of this brain structure is at all correlated with the feeling of being a woman, the results raise tantalizing possibilities that transsexuals may in a sense be more female than females.	[[0.184,0.512,0.204,0.071,0.028]]	[0.184,0.512,0.204,0.071,0.028]	negative
30	Israel is famous for many things, but transsexual divas are not among them.	[[0.072,0.493,0.371,0.053,0.011]]	[0.072,0.493,0.371,0.053,0.011]	negative
31	One girl tells the driver that she shot her boyfriend; a transsexual discusses her orgasms; a young man cruising for hookers explains how his father murdered his mother.	[[0.215,0.662,0.089,0.017,0.017]]	[0.215,0.662,0.089,0.017,0.017]	negative
32	The article gives a more genuine profile of the male-to-female transsexual than do the exploitive daytime talk shows that seem to be the source of most people's knowledge (or lack thereof) about transsexualism.	[[0.024,0.114,0.397,0.407,0.058]]	[0.024,0.114,0.397,0.407,0.058]	positive
33	A male-to-female transsexual is legally a woman and can marry a man.	[[0.055,0.239,0.277,0.348,0.081]]	[0.055,0.239,0.277,0.348,0.081]	positive
34	The prostitutes are the transvestites and transsexuals who inhabit the Sin Sin Hotel on Bugis Street, where rooms are rented by the hour or the night.	[[0.104,0.608,0.237,0.039,0.012]]	[0.104,0.608,0.237,0.039,0.012]	negative
35	In Boston, Nancy Nangeroni is helping arrange a courthouse vigil for a slain male-to-female transsexual.	[[0.089,0.665,0.228,0.015,0.004]]	[0.089,0.665,0.228,0.015,0.004]	negative
36	Holiday Inn Worldwide said today that it was dropping a television commercial featuring a transsexual that appeared during the Super Bowl.	[[0.114,0.588,0.214,0.061,0.023]]	[0.114,0.588,0.214,0.061,0.023]	negative
37	For Nan Goldin, shooting in Times Square's remaining transvestite, transsexual and gay hustler bars was something of a homecoming. ''	[[0.182,0.619,0.171,0.017,0.011]]	[0.182,0.619,0.171,0.017,0.011]	negative
